review,sentiment,tokenized_review,lemmatized_review
menu always changing food quality going service extremely slow,negative,"['menu', 'always', 'changing', 'food', 'quality', 'going', 'service', 'extremely', 'slow']",menu always changing food quality going service extremely slow
service little slow considering served 3 people servers food coming slow pace,negative,"['service', 'little', 'slow', 'considering', 'served', '3', 'people', 'servers', 'food', 'coming', 'slow', 'pace']",service little slow considering served 3 people server food coming slow pace
give 2 thumbs,negative,"['give', '2', 'thumbs']",give 2 thumb
watched waiter pay lot attention tables ignore us,negative,"['watched', 'waiter', 'pay', 'lot', 'attention', 'tables', 'ignore', 'us']",watched waiter pay lot attention table ignore u
fiancé came middle day greeted seated right away,positive,"['fiancé', 'came', 'middle', 'day', 'greeted', 'seated', 'right', 'away']",fiancé came middle day greeted seated right away
great restaurant mandalay bay,positive,"['great', 'restaurant', 'mandalay', 'bay']",great restaurant mandalay bay
waited forty five minutes vain,negative,"['waited', 'forty', 'five', 'minutes', 'vain']",waited forty five minute vain
crostini came salad stale,negative,"['crostini', 'came', 'salad', 'stale']",crostini came salad stale
highlights great quality nigiri,positive,"['highlights', 'great', 'quality', 'nigiri']",highlight great quality nigiri
staff friendly joint always clean,positive,"['staff', 'friendly', 'joint', 'always', 'clean']",staff friendly joint always clean
different cut piece day still wonderful tender well well flavored,positive,"['different', 'cut', 'piece', 'day', 'still', 'wonderful', 'tender', 'well', 'well', 'flavored']",different cut piece day still wonderful tender well well flavored
ordered voodoo pasta first time id really excellent pasta since going gluten free several years ago,positive,"['ordered', 'voodoo', 'pasta', 'first', 'time', 'id', 'really', 'excellent', 'pasta', 'since', 'going', 'gluten', 'free', 'several', 'years', 'ago']",ordered voodoo pasta first time id really excellent pasta since going gluten free several year ago
place good,positive,"['place', 'good']",place good
unfortunately must hit bakery leftover day everything ordered stale,negative,"['unfortunately', 'must', 'hit', 'bakery', 'leftover', 'day', 'everything', 'ordered', 'stale']",unfortunately must hit bakery leftover day everything ordered stale
came back today since relocated still not impressed,negative,"['came', 'back', 'today', 'since', 'relocated', 'still', 'not', 'impressed']",came back today since relocated still not impressed
seated immediately,positive,"['seated', 'immediately']",seated immediately
menu diverse reasonably priced,positive,"['menu', 'diverse', 'reasonably', 'priced']",menu diverse reasonably priced
avoid cost,negative,"['avoid', 'cost']",avoid cost
restaurant always full never wait,positive,"['restaurant', 'always', 'full', 'never', 'wait']",restaurant always full never wait
delicious,positive,['delicious'],delicious
place handsdown one best places eat phoenix metro area,positive,"['place', 'handsdown', 'one', 'best', 'places', 'eat', 'phoenix', 'metro', 'area']",place handsdown one best place eat phoenix metro area
not go looking good food,negative,"['not', 'go', 'looking', 'good', 'food']",not go looking good food
never treated bad,negative,"['never', 'treated', 'bad']",never treated bad
bacon hella salty,positive,"['bacon', 'hella', 'salty']",bacon hella salty
also ordered spinach avocado salad ingredients sad dressing literally zero taste,negative,"['also', 'ordered', 'spinach', 'avocado', 'salad', 'ingredients', 'sad', 'dressing', 'literally', 'zero', 'taste']",also ordered spinach avocado salad ingredient sad dressing literally zero taste
really vegas fine dining used right menus handed ladies no prices listed,positive,"['really', 'vegas', 'fine', 'dining', 'used', 'right', 'menus', 'handed', 'ladies', 'no', 'prices', 'listed']",really vega fine dining used right menu handed lady no price listed
waitresses friendly,positive,"['waitresses', 'friendly']",waitress friendly
lordy khao soi dish not missed curry lovers,positive,"['lordy', 'khao', 'soi', 'dish', 'not', 'missed', 'curry', 'lovers']",lordy khao soi dish not missed curry lover
everything menu terrific also thrilled made amazing accommodations vegetarian daughter,positive,"['everything', 'menu', 'terrific', 'also', 'thrilled', 'made', 'amazing', 'accommodations', 'vegetarian', 'daughter']",everything menu terrific also thrilled made amazing accommodation vegetarian daughter
perhaps caught night judging reviews not inspired go back,negative,"['perhaps', 'caught', 'night', 'judging', 'reviews', 'not', 'inspired', 'go', 'back']",perhaps caught night judging review not inspired go back
service leaves lot desired,negative,"['service', 'leaves', 'lot', 'desired']",service leaf lot desired
atmosphere modern hip maintaining touch coziness,positive,"['atmosphere', 'modern', 'hip', 'maintaining', 'touch', 'coziness']",atmosphere modern hip maintaining touch coziness
not weekly haunt definitely place come back every,positive,"['not', 'weekly', 'haunt', 'definitely', 'place', 'come', 'back', 'every']",not weekly haunt definitely place come back every
literally sat 20 minutes no one asking take order,negative,"['literally', 'sat', '20', 'minutes', 'no', 'one', 'asking', 'take', 'order']",literally sat 20 minute no one asking take order
burger absolutely no flavor meat totally bland burger overcooked no charcoal flavor,negative,"['burger', 'absolutely', 'no', 'flavor', 'meat', 'totally', 'bland', 'burger', 'overcooked', 'no', 'charcoal', 'flavor']",burger absolutely no flavor meat totally bland burger overcooked no charcoal flavor
also decided not send back waitress looked like verge heart attack,negative,"['also', 'decided', 'not', 'send', 'back', 'waitress', 'looked', 'like', 'verge', 'heart', 'attack']",also decided not send back waitress looked like verge heart attack
dressed treated rudely,negative,"['dressed', 'treated', 'rudely']",dressed treated rudely
probably dirt,negative,"['probably', 'dirt']",probably dirt
love place hits spot want something healthy not lacking quantity flavor,positive,"['love', 'place', 'hits', 'spot', 'want', 'something', 'healthy', 'not', 'lacking', 'quantity', 'flavor']",love place hit spot want something healthy not lacking quantity flavor
ordered lemon raspberry ice cocktail also incredible,positive,"['ordered', 'lemon', 'raspberry', 'ice', 'cocktail', 'also', 'incredible']",ordered lemon raspberry ice cocktail also incredible
food sucked expected sucked could imagined,negative,"['food', 'sucked', 'expected', 'sucked', 'could', 'imagined']",food sucked expected sucked could imagined
interesting decor,positive,"['interesting', 'decor']",interesting decor
really like crepe station,positive,"['really', 'like', 'crepe', 'station']",really like crepe station
also served hot bread butter home made potato chips bacon bits topvery original good,positive,"['also', 'served', 'hot', 'bread', 'butter', 'home', 'made', 'potato', 'chips', 'bacon', 'bits', 'topvery', 'original', 'good']",also served hot bread butter home made potato chip bacon bit topvery original good
watch preparing delicious food,positive,"['watch', 'preparing', 'delicious', 'food']",watch preparing delicious food
egg rolls fantastic,positive,"['egg', 'rolls', 'fantastic']",egg roll fantastic
order arrived one gyros missing,negative,"['order', 'arrived', 'one', 'gyros', 'missing']",order arrived one gyro missing
salad wings ice cream dessert left feeling quite satisfied,positive,"['salad', 'wings', 'ice', 'cream', 'dessert', 'left', 'feeling', 'quite', 'satisfied']",salad wing ice cream dessert left feeling quite satisfied
not really sure joeys voted best hot dog valley readers phoenix magazine,negative,"['not', 'really', 'sure', 'joeys', 'voted', 'best', 'hot', 'dog', 'valley', 'readers', 'phoenix', 'magazine']",not really sure joeys voted best hot dog valley reader phoenix magazine
best place go tasty bowl pho,positive,"['best', 'place', 'go', 'tasty', 'bowl', 'pho']",best place go tasty bowl pho
live music fridays totally blows,negative,"['live', 'music', 'fridays', 'totally', 'blows']",live music friday totally blow
never insulted felt disrespected,negative,"['never', 'insulted', 'felt', 'disrespected']",never insulted felt disrespected
friendly staff,positive,"['friendly', 'staff']",friendly staff
worth drive,positive,"['worth', 'drive']",worth drive
heard good things place exceeding every hope could dreamed,positive,"['heard', 'good', 'things', 'place', 'exceeding', 'every', 'hope', 'could', 'dreamed']",heard good thing place exceeding every hope could dreamed
food great serivce,positive,"['food', 'great', 'serivce']",food great serivce
warm beer not help,negative,"['warm', 'beer', 'not', 'help']",warm beer not help
great brunch spot,positive,"['great', 'brunch', 'spot']",great brunch spot
service friendly inviting,positive,"['service', 'friendly', 'inviting']",service friendly inviting
good lunch spot,positive,"['good', 'lunch', 'spot']",good lunch spot
lived since 1979 first last time stepped foot place,negative,"['lived', 'since', '1979', 'first', 'last', 'time', 'stepped', 'foot', 'place']",lived since 1979 first last time stepped foot place
worst experience ever,negative,"['worst', 'experience', 'ever']",worst experience ever
must night place,negative,"['must', 'night', 'place']",must night place
sides delish mixed mushrooms yukon gold puree white corn beateous,positive,"['sides', 'delish', 'mixed', 'mushrooms', 'yukon', 'gold', 'puree', 'white', 'corn', 'beateous']",side delish mixed mushroom yukon gold puree white corn beateous
bug never showed would given 4 sure side wall bug climbing kitchen,negative,"['bug', 'never', 'showed', 'would', 'given', '4', 'sure', 'side', 'wall', 'bug', 'climbing', 'kitchen']",bug never showed would given 4 sure side wall bug climbing kitchen
10 minutes waiting salad realized not coming time soon,negative,"['10', 'minutes', 'waiting', 'salad', 'realized', 'not', 'coming', 'time', 'soon']",10 minute waiting salad realized not coming time soon
friend loved salmon tartar,positive,"['friend', 'loved', 'salmon', 'tartar']",friend loved salmon tartar
not go back,negative,"['not', 'go', 'back']",not go back
extremely tasty,positive,"['extremely', 'tasty']",extremely tasty
waitress good though,positive,"['waitress', 'good', 'though']",waitress good though
soggy not good,negative,"['soggy', 'not', 'good']",soggy not good
jamaican mojitos delicious,positive,"['jamaican', 'mojitos', 'delicious']",jamaican mojitos delicious
small not worth price,negative,"['small', 'not', 'worth', 'price']",small not worth price
food rich order accordingly,positive,"['food', 'rich', 'order', 'accordingly']",food rich order accordingly
shower area outside rinse not take full shower unless not mind nude everyone see,negative,"['shower', 'area', 'outside', 'rinse', 'not', 'take', 'full', 'shower', 'unless', 'not', 'mind', 'nude', 'everyone', 'see']",shower area outside rinse not take full shower unless not mind nude everyone see
service bit lacking,negative,"['service', 'bit', 'lacking']",service bit lacking
lobster bisque bussell sprouts risotto filet needed salt pepperand course none tables,negative,"['lobster', 'bisque', 'bussell', 'sprouts', 'risotto', 'filet', 'needed', 'salt', 'pepperand', 'course', 'none', 'tables']",lobster bisque bussell sprout risotto filet needed salt pepperand course none table
hopefully bodes going business someone cook come,negative,"['hopefully', 'bodes', 'going', 'business', 'someone', 'cook', 'come']",hopefully bodes going business someone cook come
either cold not enough flavor bad,negative,"['either', 'cold', 'not', 'enough', 'flavor', 'bad']",either cold not enough flavor bad
loved bacon wrapped dates,positive,"['loved', 'bacon', 'wrapped', 'dates']",loved bacon wrapped date
unbelievable bargain,positive,"['unbelievable', 'bargain']",unbelievable bargain
folks otto always make us feel welcome special,positive,"['folks', 'otto', 'always', 'make', 'us', 'feel', 'welcome', 'special']",folk otto always make u feel welcome special
mains also uninspired,negative,"['mains', 'also', 'uninspired']",main also uninspired
place first pho amazing,positive,"['place', 'first', 'pho', 'amazing']",place first pho amazing
