review,sentiment,tokenized_review,lemmatized_review,review_vector,predicted_sentiment,reason
pizza tasted old super chewy not good way,negative,"['pizza', 'tasted', 'old', 'super', 'chewy', 'not', 'good', 'way']",pizza tasted old super chewy not good way,"[-7.18197450e-02  1.93898529e-01  4.09492463e-01 -3.98075938e-01
 -3.25360656e-01  1.38193741e-01  2.59858638e-01 -1.20755993e-01
 -2.30549365e-01  8.65562558e-02  6.12748861e-02 -1.14078633e-01
  4.36393738e-01  1.02073215e-01  1.75661623e-01  3.34222429e-02
  1.66262120e-01 -1.28830075e-02 -3.38772506e-01  5.18470049e-01
  2.43170992e-01  4.10567462e-01  2.81087440e-02 -3.74590129e-01
  1.52794242e-01  3.31324488e-01 -2.36087501e-01 -5.30888438e-01
 -2.02577382e-01 -1.13018394e-01  2.34991312e-04  4.07150000e-01
  3.94612551e-02 -2.42346242e-01  2.92882502e-01  3.72646004e-01
 -1.86809510e-01  3.20763350e-01 -5.54911233e-03 -4.50580657e-01
  1.73011526e-01 -3.67148757e-01  1.75457865e-01 -5.78451216e-01
 -4.85833883e-02  1.67887509e-01  2.13103265e-01 -1.36323631e-01
  1.62137717e-01 -5.10836005e-01 -1.48745760e-01 -1.25703752e-01
  1.86762482e-01  7.19967365e-01 -2.10647002e-01 -1.74232328e+00
  2.82087736e-02  5.42548716e-01  8.94377470e-01  1.64095894e-01
 -1.72767371e-01  5.35124958e-01 -2.74770766e-01  2.76387576e-03
  4.25712854e-01 -1.38231248e-01  3.66420001e-01  2.78630376e-01
 -3.66152465e-01 -4.85441208e-01  9.43192467e-02 -2.14239135e-01
  2.99645275e-01  3.94985080e-04  7.56112114e-03  2.09830016e-01
 -3.06621373e-01 -2.38906756e-01 -3.76073748e-01  5.40396273e-02
  3.72356772e-01 -1.52264982e-01 -4.09392476e-01  3.98401737e-01
 -1.03653550e+00 -3.59886140e-01  1.22073747e-01 -2.26108164e-01
 -3.12895387e-01 -3.03975999e-01  6.50651306e-02  9.22412276e-02
 -1.67196140e-01 -7.85462093e-03 -5.19672453e-01 -3.95641506e-01
 -1.97305128e-01 -1.22614801e-01  2.97927380e-01  4.72786278e-01]",positive,Misclassified negative review: Model failed to detect negative sentiment.
not really impressed strip steak,negative,"['not', 'really', 'impressed', 'strip', 'steak']",not really impressed strip steak,"[-0.4447998  -0.0630322   0.04765578 -0.2328358  -0.43483394  0.16097996
  0.14330181  0.32205278  0.19901219 -0.112236   -0.00393121 -0.05261369
  0.2918364  -0.12366407 -0.1597362   0.06575797 -0.12840581 -0.00260659
 -0.38928598  0.429312    0.559838    0.1891638  -0.19934979 -0.707214
  0.511392    0.40467757 -0.15731099 -0.77076054 -0.115986   -0.327331
  0.01529599  0.51331     0.03160734  0.08698124  0.2641      0.1913198
 -0.1108124   0.18337001 -0.108936   -0.274452    0.02961341 -0.24196401
  0.21041982 -0.309038   -0.13228822 -0.08283439  0.172376   -0.0221166
  0.27748197 -0.78563994 -0.07021219 -0.03715801  0.2344234   0.775854
 -0.4011918  -1.692058   -0.05105114 -0.0877184   0.7301156   0.469652
 -0.0295846   0.77727807 -0.15985799  0.034089    0.89439803 -0.11685
  0.504874    0.40793037 -0.24150309 -0.21257     0.1652138  -0.431245
 -0.0607464  -0.07153881  0.0319974   0.145274   -0.20744601  0.16458222
 -0.27229723  0.09285761  0.29868078 -0.21669719 -0.48006064  0.003646
 -1.0233781  -0.262412    0.0365444   0.03405171 -0.2842968  -0.38478398
 -0.0601998  -0.203688   -0.0144814  -0.08805239 -0.49667     0.1249036
 -0.03949599 -0.13049242  0.4360806   0.607772  ]",positive,Misclassified negative review: Model failed to detect negative sentiment.
really like crepe station,positive,"['really', 'like', 'crepe', 'station']",really like crepe station,"[-0.44495675  0.09884751  0.1066025  -0.31072003 -0.05041599  0.05579825
  0.0892425   0.21882501 -0.0029125   0.18552     0.24433625 -0.0087371
  0.160171    0.32101572  0.0687575  -0.53444505  0.1340185   0.09672749
  0.283304    0.05108751  0.28775     0.4858775   0.08126575 -0.71036756
  0.45991623  0.10206999  0.1679675  -0.29477     0.12867844 -0.18006504
 -0.0933525   0.6126384   0.38157248  0.05401331  0.16863249  0.41911247
  0.21287753  0.00348002  0.454685   -0.30342752  0.09995125 -0.40987748
 -0.24999    -0.43205756 -0.41257    -0.24316     0.120205   -0.08957925
  0.0348675  -0.37846246 -0.05186025 -0.05745149  0.11428624  0.942305
 -0.3135165  -1.7338326  -0.24006374  0.3406375   1.036619    0.40320998
 -0.32527575  0.6613248  -0.39751     0.0085      0.5498525   0.22374502
  0.67358476  0.0548435  -0.22044998  0.1238575  -0.0399155  -0.24131751
 -0.15342276 -0.170451    0.28996     0.21019323  0.47228748  0.1851275
 -0.00778998  0.0514775  -0.04733825 -0.25255    -0.359295    0.3825925
 -1.099497   -0.3705985  -0.07117499  0.11792    -0.07672749 -0.12921749
  0.037079   -0.2767875   0.01311575 -0.12122101 -0.44727904 -0.20535676
 -0.2676525  -0.283075    0.3539525   0.43815178]",negative,Misclassified positive review: Model failed to detect positive sentiment.
three different occasions asked well done medium well three times got bloodiest piece meat plate,negative,"['three', 'different', 'occasions', 'asked', 'well', 'done', 'medium', 'well', 'three', 'times', 'got', 'bloodiest', 'piece', 'meat', 'plate']",three different occasion asked well done medium well three time got bloodiest piece meat plate,"[-0.33701262  0.410167   -0.0337938  -0.16462466 -0.02941367  0.1643019
  0.17612663  0.23765655 -0.2640467   0.0083256   0.249637   -0.18832485
  0.26999694  0.29229993  0.01798047 -0.06844679 -0.05522919  0.01493374
 -0.3272764   0.0721482   0.37983403  0.07439387  0.06202459 -0.18829332
  0.33111784 -0.04547133 -0.11191826 -0.24475831 -0.02579653  0.10976453
  0.02179633  0.3948913  -0.07572692 -0.04814466  0.22571714  0.25042668
 -0.24461402  0.09230493 -0.21501647 -0.15565054 -0.19722743 -0.28912443
  0.1359112  -0.18282405 -0.0635548   0.01252493  0.11294433 -0.50528485
 -0.08720593 -0.52387255 -0.04791553 -0.04613307  0.07766961  0.97257465
 -0.23151407 -1.875516   -0.08854356  0.02445886  1.322964    0.7360222
 -0.22007398  0.99832004 -0.0965742   0.13243707  0.61916584 -0.237423
  0.29056114  0.18437031  0.1405368  -0.09663995 -0.15538573  0.03442653
  0.18988493 -0.0265584   0.23715124  0.23015122 -0.32659778 -0.17297012
 -0.42912114  0.0886292   0.53559387  0.04439659 -0.33995587  0.19978228
 -1.1771433  -0.15978774 -0.0428326  -0.14998747 -0.16244332 -0.16452986
 -0.1432788  -0.03467326 -0.24172203 -0.13835219 -0.6688028   0.08734613
 -0.33767316 -0.11047592  0.3641552   0.15418686]",positive,Misclassified negative review: Model failed to detect negative sentiment.
warm beer not help,negative,"['warm', 'beer', 'not', 'help']",warm beer not help,"[-3.83186013e-01  4.41645026e-01  1.25076249e-01 -2.39372492e-01
 -1.57620758e-01  2.14112505e-01  1.92192495e-01  3.09500024e-02
 -2.33074993e-01 -2.56933272e-01 -2.98194736e-01 -4.53564972e-01
  2.07944244e-01  2.30084181e-01 -4.28274274e-03 -3.13662499e-01
  3.14747512e-01 -1.95275009e-01 -4.84357506e-01  1.00460000e-01
  3.78699973e-02  2.56757498e-01  6.41233027e-02 -4.90087532e-02
 -8.95285010e-02  3.33651215e-01 -4.46714997e-01 -4.82142985e-01
  1.84842750e-01 -1.48923248e-01 -4.24057543e-02  4.91697520e-01
  4.88575101e-02  8.65742564e-04  1.83362022e-01  6.34449959e-01
  2.38007501e-01  1.57370746e-01 -1.14082508e-01 -3.11738491e-01
 -8.45737457e-02 -4.88695025e-01 -4.83549982e-02 -8.13835025e-01
  1.46487519e-01 -1.83449686e-03 -1.61822498e-01 -3.65029991e-01
  1.94122493e-01 -1.21782494e+00 -3.44299972e-02 -1.13115750e-01
  7.01849982e-02  8.25704992e-01 -1.26923248e-01 -2.10347509e+00
 -7.78524280e-02 -2.73549855e-02  1.42572999e+00  1.20739996e-01
  3.77922580e-02  6.23560011e-01 -2.97106504e-01  6.91987574e-02
  5.37175000e-01  2.07771048e-01  4.89651740e-01  5.50001860e-05
  2.79310048e-02 -8.70947480e-01  2.54079998e-01 -5.07344246e-01
  2.68856287e-01 -3.31730515e-01  1.02795005e-01  5.27040005e-01
 -7.73364976e-02 -4.06679273e-01 -5.51200032e-01  3.33011985e-01
  4.70506012e-01 -1.06852502e-01 -5.86867452e-01  2.99327493e-01
 -1.05256772e+00 -2.71357566e-01 -5.03400043e-02  2.56743878e-01
 -1.59495011e-01 -2.42884994e-01  1.30406246e-01 -1.21406250e-01
 -8.96772519e-02 -4.87990022e-01 -4.04992491e-01 -5.93504980e-02
 -3.82912487e-01 -4.88025025e-02  2.77330726e-01  3.91895473e-01]",positive,Misclassified negative review: Model failed to detect negative sentiment.
not know place managed served blandest food ever eaten preparing indian cuisine,negative,"['not', 'know', 'place', 'managed', 'served', 'blandest', 'food', 'ever', 'eaten', 'preparing', 'indian', 'cuisine']",not know place managed served blandest food ever eaten preparing indian cuisine,"[-0.29539502  0.2568024   0.25319833  0.05487321 -0.07537335  0.12583785
  0.06406534  0.07465341 -0.05586782  0.0461995  -0.05449326 -0.04973416
  0.42642474  0.2854869  -0.1434115  -0.17856991  0.19296874  0.06442665
 -0.6042909   0.19355242  0.19704892  0.0926075   0.22750008 -0.3509165
 -0.23126149  0.0799555  -0.17764802 -0.36273375 -0.05320609 -0.17006917
 -0.264596    0.36887822 -0.00172034 -0.14656578  0.20569433  0.31749302
 -0.21648751  0.15718783 -0.06966624 -0.32819584 -0.30041564 -0.13465251
  0.07946916 -0.36735404  0.40736702  0.15453857  0.06390458 -0.19028924
  0.04402783 -0.6068363  -0.03862834 -0.06463834  0.15132482  0.65563416
 -0.29875892 -1.5071343  -0.250875    0.01884733  1.2257332   0.35127807
 -0.13262     0.644232    0.00846901 -0.12359542  0.74629164 -0.09540424
  0.15184022  0.05359489  0.18224575 -0.13224134 -0.10327091 -0.22815953
  0.04236367  0.12978834 -0.03186983  0.23875384 -0.4344375  -0.1293438
 -0.4066439   0.20075518  0.25437918 -0.11946783 -0.4828793   0.25729915
 -0.9496667  -0.29099223 -0.01893041  0.0039528  -0.19504608 -0.28377497
  0.06737213 -0.17052425  0.06909049 -0.20357919 -0.6180542  -0.07399134
 -0.11990583 -0.08743384  0.39439794  0.39575836]",positive,Misclassified negative review: Model failed to detect negative sentiment.
cannot go wrong food,positive,"['can', 'not', 'go', 'wrong', 'food']",can not go wrong food,"[-1.70538813e-01  4.92610782e-01  4.56580013e-01 -5.08611977e-01
 -3.53709638e-01  1.09963991e-01 -1.62643805e-01  2.86908001e-01
  3.24119180e-01 -1.50006011e-01  5.26387990e-02  1.95700020e-01
  3.61623585e-01  2.57761925e-01 -3.63614038e-02 -1.80584013e-01
  1.09981999e-01  3.72914016e-01 -7.47559965e-01  3.27552587e-01
  3.19628805e-01  1.27094001e-01  2.82756627e-01 -2.54726201e-01
 -1.15143798e-01  3.52385819e-01 -2.72245586e-01 -6.44226015e-01
  5.37600033e-02 -2.16554403e-01 -1.42066032e-02  5.59755802e-01
 -5.54787926e-02  2.16995999e-02  1.54159397e-01  6.09039962e-01
 -1.31235197e-01  3.05070579e-01 -7.14266002e-02 -4.28083986e-01
 -3.88158023e-01 -2.35452019e-02 -3.27734411e-01 -7.34662056e-01
 -1.70262009e-01 -3.08199935e-02 -1.86412409e-01 -2.34772012e-01
 -3.26147974e-01 -1.03373206e+00  4.60405409e-01 -9.77718085e-02
  2.29378045e-02  9.45234001e-01 -1.19039796e-01 -2.12855983e+00
 -6.45749420e-02  1.09610997e-01  1.87845993e+00  2.65803993e-01
 -1.26204208e-01  6.44338787e-01 -3.02728385e-01 -7.75022879e-02
  1.01114202e+00  1.32129371e-01  4.22707975e-01  1.78657994e-01
 -1.41883999e-01 -5.16982675e-01 -2.88022608e-01 -4.90191847e-01
  5.25328033e-02 -3.17891985e-01  2.89714426e-01  1.96339842e-02
 -2.83963978e-01  6.13395125e-04 -6.72407985e-01  1.00234605e-01
  4.44451988e-01 -9.13652107e-02 -8.71112049e-01 -6.65560141e-02
 -1.67358017e+00 -3.07031393e-01  2.93614209e-01 -1.93756968e-02
 -4.19800818e-01 -4.69981998e-01 -2.54599988e-01 -2.86516007e-02
  1.34136602e-01 -2.85498381e-01 -5.05730450e-01 -1.19351603e-01
  4.82599996e-02 -3.10374826e-01  5.70052624e-01  3.17133993e-01]",negative,Misclassified positive review: Model failed to detect positive sentiment.
salad bland vinegrette baby greens hearts palm,negative,"['salad', 'bland', 'vinegrette', 'baby', 'greens', 'hearts', 'palm']",salad bland vinegrette baby green heart palm,"[-0.701875    0.6190892   0.315518   -0.39461502 -0.018385    0.34282663
  0.29866663  0.04729499 -0.27776334 -0.17131001 -0.063274    0.15493833
  0.1143725   0.41013786  0.2551067   0.12660165 -0.07840666 -0.10447884
  0.05355834  0.44671297 -0.19966334  0.10850034  0.46493617 -0.33387336
  0.00427034  0.86566335 -0.25313333 -0.5901399  -0.16750665  0.05305884
  0.34241498  0.39348018  0.32210755 -0.45602503  0.08448233  0.27787337
 -0.168491    0.53739214  0.18727095 -0.52457815  0.14010166 -0.65087533
  0.02102117 -0.49174765 -0.095608   -0.14723502 -0.267082    0.13760667
 -0.06536    -0.2856435  -0.33639416 -0.35761166  0.11078483  0.44086817
 -0.32600698 -1.0374067  -0.09167501  0.5888671   0.35361782  0.05203101
  0.14691299  0.7129933  -0.15545084  0.11590598  0.32336834 -0.26864484
  0.02443551 -0.10377833 -0.26531833 -0.530695   -0.3076885   0.4997108
 -0.03203333 -0.39712563 -0.00678883  0.46558666 -0.33512667  0.12496249
  0.150845    0.09446499  0.33495167 -0.23555832 -0.14813018  0.38254383
 -0.5174     -0.4716988   0.07486666 -0.03233    -0.11398945  0.06358116
  0.21748449  0.00800167 -0.08792168  0.08334666 -0.76089334 -0.03429434
 -0.045706   -0.171201    0.44019     0.24521665]",positive,Misclassified negative review: Model failed to detect negative sentiment.
descriptions said yum yum sauce another said eel sauce yet another said spicy mayowell none rolls sauces,negative,"['descriptions', 'said', 'yum', 'yum', 'sauce', 'another', 'said', 'eel', 'sauce', 'yet', 'another', 'said', 'spicy', 'mayowell', 'none', 'rolls', 'sauces']",description said yum yum sauce another said eel sauce yet another said spicy mayowell none roll sauce,"[-3.59973758e-01  1.13528699e-01  1.94608882e-01 -4.42271173e-01
 -4.51687872e-02 -2.72258976e-03  4.13906217e-01 -4.73926924e-02
  1.50000736e-01  8.07243735e-02  2.06253696e-02  1.32836744e-01
  1.98936000e-01  1.99052513e-01  1.58030197e-01 -7.50627518e-02
 -1.04007304e-01 -2.33234629e-01 -2.42363259e-01  2.02887565e-01
  2.17573240e-01  2.87909299e-01 -9.48996767e-02  8.17124452e-03
 -9.75693613e-02  5.88762045e-01 -7.16113746e-02 -3.27118695e-01
 -3.67172420e-01 -3.08873355e-01 -1.01019017e-01  3.73226166e-01
 -7.56443664e-02 -1.13629743e-01  1.08104996e-01  6.50487065e-01
  2.46013701e-01  2.24443123e-01  1.99228138e-01 -3.51971924e-01
 -1.05439574e-01 -2.96098828e-01 -1.47771269e-01 -3.58025134e-01
  2.06906378e-01  2.31469989e-01 -5.29559478e-02 -2.88540602e-01
 -3.30565758e-02 -6.65902674e-01 -2.61653773e-02 -1.73330665e-01
 -3.85140628e-02  4.99745101e-01 -5.12191832e-01 -1.12098706e+00
 -1.40759423e-02  1.55125067e-01  6.43887520e-01  5.37116766e-01
  9.82243568e-04  4.84986067e-01  2.96096653e-01  1.35321856e-01
  3.02974015e-01 -4.03571755e-01  2.47823820e-01  3.13863158e-01
 -1.94866844e-02 -8.58541727e-02 -9.59606320e-02 -5.16366959e-02
  3.42475064e-03 -2.24429280e-01  3.38818729e-01  3.94308448e-01
 -2.38809392e-01 -3.93768251e-01 -4.52671885e-01  1.82511374e-01
  5.55297613e-01 -3.76448035e-01 -3.99224937e-01  2.23593771e-01
 -6.50955737e-01 -3.50799501e-01  3.17718089e-03 -4.10284922e-02
  3.34874392e-02 -1.18473135e-01  2.47654140e-01  1.69268064e-02
 -2.10674554e-01 -1.48745865e-01 -4.21316206e-01 -1.49354979e-01
 -2.59440392e-01 -5.75284958e-01  3.07417095e-01  3.13866884e-01]",positive,Misclassified negative review: Model failed to detect negative sentiment.
seated immediately,positive,"['seated', 'immediately']",seated immediately,"[ 0.0080995   0.087515   -0.01355501  0.33125    -0.0350036   0.746315
 -0.184815    0.34881502  0.16417    -0.37430602  0.05038501  0.53168
  0.77967    -0.11317515  0.174475   -0.65568495 -0.20280999  0.359585
 -0.68573    -0.877435    0.045796   -0.1353945   0.0634755  -0.389405
  0.04233    -0.399705   -0.196661   -0.0278241   0.605685    0.0075149
  0.30742002  0.233605   -0.059485    0.410115    0.198526    0.41153848
  0.008736   -0.11529     0.18046     0.01631501 -0.553505   -0.305875
  0.49789    -0.35156     0.1893735   0.06505501 -0.30437     0.2127015
 -0.03691    -0.464513    0.39421502 -0.600115    0.33271     0.956685
 -0.148114   -1.5176     -0.26369    -0.27355     0.93557996  0.308695
  0.08114     0.63146996  0.0221865   0.054453    0.28372502 -0.182574
  0.25938     0.09586999 -0.434075    0.28713    -0.03326    -0.1943255
  0.0352815  -0.38550752  0.3559935   0.43080002 -0.155264   -0.15494901
 -0.07027999 -0.1459465  -0.05185001 -0.24961     0.05078    -0.0017
 -0.5405575  -0.747005   -0.02278501  0.208195   -0.05864    -0.1929965
 -0.19597    -0.235515   -0.243795    0.10024949 -0.05887501  0.181158
  0.023305   -0.15831     0.669345   -0.2885305 ]",negative,Misclassified positive review: Model failed to detect positive sentiment.
must night place,negative,"['must', 'night', 'place']",must night place,"[-0.17632668  0.03881333  0.39351335 -0.17931247 -0.22542334  0.384154
  0.03364766  0.7563967  -0.22399665 -0.14297934  0.0283319   0.02195
  0.26036334 -0.00654534 -0.11572433 -0.40127     0.304613    0.33697298
 -0.85946673 -0.0085776   0.29594    -0.31972     0.10539267 -0.15951073
  0.24612999 -0.19579001 -0.012391   -0.16357     0.11679999 -0.35243532
 -0.25378     0.18959604  0.0352      0.28230467  0.20875932  0.330318
 -0.23332     0.170946    0.03547867 -0.28262976 -0.18480165 -0.34607336
  0.18621333 -0.32010332 -0.07422166 -0.24773331 -0.16906197 -0.14231233
  0.07865668 -0.77074337  0.01826334 -0.22804666 -0.04029667  1.3079666
 -0.08177999 -2.6091     -0.04682567  0.02929167  1.4775      0.65227336
 -0.56813836  0.8057     -0.37508    -0.259257    0.84499764  0.10776701
  0.15828     0.24801733 -0.32095    -0.48814133 -0.15169999 -0.8011033
  0.03110233 -0.20756333  0.15059333  0.13509299 -0.31112698 -0.31963325
 -0.60084003  0.01977467  0.44955334 -0.10187034 -0.6021633   0.07670667
 -1.19324    -0.18247366  0.050057    0.22169733  0.077607   -0.054392
 -0.27374664 -0.21552669  0.16652     0.34260333 -0.8021233   0.17680933
  0.07340834 -0.03892666  0.51296     0.308     ]",positive,Misclassified negative review: Model failed to detect negative sentiment.
like steiners dark feels like bar,positive,"['like', 'steiners', 'dark', 'feels', 'like', 'bar']",like steiner dark feel like bar,"[-0.097202    0.3269785   0.3114667  -0.37552163 -0.03129467  0.31312883
 -0.40592834  0.152286   -0.07489166 -0.2549679  -0.07887144 -0.23993884
  0.24066551  0.18870999 -0.00309717 -0.0248985  -0.01720499  0.12242333
 -0.10035483  0.17624332  0.20718549  0.27334833 -0.01574851 -0.50878835
  0.3715953   0.384455   -0.13944668 -0.62232167 -0.07459233 -0.27763548
  0.20949334  0.27926663 -0.016715   -0.18322499  0.220492    0.30239832
  0.00857295  0.18999833  0.27222964 -0.28813967  0.06895667 -0.29793432
 -0.07172333 -0.3113517  -0.25968468  0.003602    0.03001166  0.33220634
  0.20360668 -0.4914992   0.08107749 -0.01107333  0.00336966  0.74501497
 -0.29079467 -1.7888516   0.07818834  0.31036326  0.821165    0.36505166
 -0.07477468  0.92677265 -0.12286835  0.06321151  0.51247483 -0.03979383
  0.68080163  0.07515284 -0.27566    -0.12851016  0.08841434 -0.20113333
  0.03569832 -0.03758033 -0.16548984  0.10220201  0.03678918 -0.29426035
 -0.07289234 -0.09097499  0.19032967 -0.13895833 -0.41961768  0.15752333
 -0.8535233  -0.21787949 -0.28533667 -0.11499146 -0.22929831 -0.23381667
  0.01899933 -0.15877731 -0.07727566  0.06842867 -0.17354266 -0.11987001
 -0.46184754 -0.07259666  0.23720999  0.0955283 ]",negative,Misclassified positive review: Model failed to detect positive sentiment.
servers not pleasant deal not always honor pizza hut coupons,negative,"['servers', 'not', 'pleasant', 'deal', 'not', 'always', 'honor', 'pizza', 'hut', 'coupons']",server not pleasant deal not always honor pizza hut coupon,"[-0.03637619  0.1638709  -0.026163   -0.16693266 -0.06036651  0.1666037
  0.054092    0.0282505  -0.0177832  -0.0027115   0.10502911  0.0629129
  0.5428722  -0.00938555  0.00528719 -0.28351468  0.36905843  0.15555587
 -0.489427    0.30825827  0.0179064   0.21007499 -0.059122   -0.16482772
  0.1014931   0.1294187  -0.2311248  -0.21110949 -0.12685399 -0.29715118
  0.24102399  0.5435867   0.1621988   0.0172857   0.4251558   0.5549197
 -0.0175966   0.01296519  0.065381   -0.62595904  0.170451    0.0322265
  0.09684891 -0.4025486  -0.08442462 -0.0475462   0.09767248 -0.30135378
  0.18610871 -0.43170443  0.024793   -0.1537178   0.10710929  0.66103
 -0.17411777 -1.4953802   0.06958777 -0.0561947   1.154874    0.23639409
 -0.21528642  0.351888   -0.18324079 -0.057675    0.38179463 -0.19750315
  0.426972    0.21959083  0.0938444  -0.44318143 -0.1294761  -0.3667793
  0.1290298  -0.31262523  0.11740106  0.29215297  0.0645614  -0.1341714
 -0.5119007   0.1977456   0.16970569 -0.2759787  -0.507541    0.08775701
 -1.0354081  -0.20863697  0.09851298 -0.16161166 -0.0492409  -0.245403
 -0.10397099  0.0950589  -0.017584   -0.106215   -0.47598034 -0.1817142
 -0.03405482 -0.12081937  0.41081294  0.42219144]",positive,Misclassified negative review: Model failed to detect negative sentiment.
super pissd,negative,"['super', 'pissd']",super pissd,"[-0.44533  -0.44969   1.2393   -1.0486   -0.36844  -0.1852    0.35571
  0.14081  -1.3656   -0.16783   0.58801  -0.95256  -0.49226  -0.39318
 -0.26359  -0.01618   0.021069  0.31416   0.2168    0.22299   0.33585
 -0.3546   -0.47979  -0.017641  0.22075   0.20135  -0.019484 -0.087378
 -0.052559  0.70496  -0.24879   0.12083  -0.40985  -0.16628   1.0288
  0.082121 -0.74541   1.2733   -0.63724   0.096175  0.74285  -0.53568
  0.23198  -1.1901    0.19239   0.38015   0.2989    0.20202   0.24005
 -0.59483  -1.0667    0.4612    0.50776   0.48553   0.46278  -2.1189
 -0.16138   1.0984    0.87567   0.080837 -0.4985    0.30497  -0.15166
 -0.18904   0.94573   0.38747  -0.49592   0.31328  -0.68862   0.43154
  0.1418   -0.7425   -0.054038  1.1463   -0.47824   0.20536  -0.42666
  0.097123 -0.49852  -0.098802  0.55622  -0.60768  -0.15279   0.46878
 -0.66378  -0.30409  -0.18661  -0.73092   0.22037   0.1049    0.23679
  0.82143   0.024779 -0.0415   -0.38468  -0.68156  -0.52885   0.65856
  0.79881  -0.16019 ]",positive,Misclassified negative review: Model failed to detect negative sentiment.
ambiance not feel like buffet setting douchey indoor garden tea biscuits,negative,"['ambiance', 'not', 'feel', 'like', 'buffet', 'setting', 'douchey', 'indoor', 'garden', 'tea', 'biscuits']",ambiance not feel like buffet setting douchey indoor garden tea biscuit,"[-1.99709490e-01  4.10006911e-01  2.92487979e-01 -4.43593971e-02
 -1.50404394e-01  3.78757894e-01  8.43833908e-02  2.81008154e-01
 -2.87459999e-01 -2.46989988e-02 -7.65124112e-02 -2.42345408e-01
  7.19802007e-02  1.17160678e-01 -3.58413011e-02  3.13122347e-02
  7.13853985e-02  1.56323999e-01 -3.22742641e-01 -1.12898126e-02
  4.53618020e-02  2.33187407e-01  2.78871596e-01 -4.47503030e-01
  7.16793984e-02  2.13952988e-01 -1.32831797e-01 -3.04731578e-01
 -2.68792927e-01 -2.02312395e-01 -2.29709983e-01  1.94004983e-01
  2.22926378e-01 -4.41697948e-02  3.15100163e-01  4.69236910e-01
 -1.36200187e-03  2.97448605e-01 -1.57350510e-01 -5.06358981e-01
  1.02274500e-01 -3.10223997e-01  6.31719828e-03 -4.39622492e-01
  2.92797506e-01  6.69539645e-02 -1.84399724e-01 -1.80720180e-01
  2.72409976e-01 -7.29211986e-01 -8.16920996e-02 -1.67992800e-01
  1.34583935e-01  4.84247029e-01 -1.80596396e-01 -1.55129933e+00
  8.06953758e-02  3.27254117e-01  8.06620777e-01  2.47297123e-01
 -6.17287941e-02  5.07864594e-01 -9.26880017e-02  8.17933977e-02
  3.42259824e-01 -9.91216078e-02  5.01861691e-01 -7.25496784e-02
  1.61295697e-01 -6.87204003e-01 -1.62579805e-01 -3.86684030e-01
  1.68498486e-01 -1.94489986e-01 -1.77149996e-01  2.34295294e-01
  1.36602998e-01 -9.59278941e-02 -2.21717998e-01  1.66203812e-01
  2.30944991e-01 -1.14023112e-01 -3.14816892e-01  3.71367097e-01
 -5.69753349e-01 -4.72727008e-02 -4.85751517e-02 -6.66423514e-02
 -1.31070301e-01 -9.25845951e-02  3.06035489e-01 -2.81220496e-01
  1.41984791e-01 -1.14891924e-01 -4.22084987e-01 -2.34547809e-01
 -1.57322794e-01 -3.15393776e-01  6.71067178e-01  4.49090332e-01]",positive,Misclassified negative review: Model failed to detect negative sentiment.
lobster bisque bussell sprouts risotto filet needed salt pepperand course none tables,negative,"['lobster', 'bisque', 'bussell', 'sprouts', 'risotto', 'filet', 'needed', 'salt', 'pepperand', 'course', 'none', 'tables']",lobster bisque bussell sprout risotto filet needed salt pepperand course none table,"[-0.35327947  0.5744477   0.25373062 -0.09306609 -0.098246    0.03836241
  0.35654622  0.35719442 -0.12123644 -0.11309523  0.01885101  0.37674806
  0.09395773  0.38150102 -0.17761283 -0.00554444 -0.1587099  -0.09824573
 -0.19804908  0.09345517 -0.38292712  0.083343    0.12922402 -0.33360353
  0.111509    0.3044988  -0.26259953 -0.2688155  -0.3080629  -0.44831362
 -0.1868028   0.11970761 -0.08466573 -0.30825716  0.08512555  0.54021084
 -0.07993763  0.09988444  0.1884041  -0.3187391   0.08276474 -0.6045983
 -0.20270973 -0.4190891  -0.05812763 -0.03984718 -0.12255865 -0.2275622
 -0.03679323 -0.19457887 -0.28662685 -0.04653472 -0.143318    0.4589651
 -0.6511045  -0.6533609   0.1021311   0.02788363  0.361754    0.24329247
 -0.24801365  0.4304245   0.21347737  0.23125939  0.21354929 -0.27187172
  0.0055301  -0.14372855 -0.03456582 -0.27114382 -0.15577455 -0.01604738
  0.22088428  0.27372435 -0.07741182  0.19975251 -0.4929179  -0.069027
  0.13079117  0.24707554  0.20125909 -0.16050027 -0.22994877  0.12124363
 -0.2525382  -0.14324789  0.17582507  0.04907564 -0.19857016 -0.08478063
 -0.05465427 -0.15377627 -0.13648282 -0.23345    -0.15427881 -0.32513452
 -0.16576582 -0.16046403  0.31835172  0.29275408]",positive,Misclassified negative review: Model failed to detect negative sentiment.
